left,price,room,salon,area,age,province,district
Daire,5350000.0,3.0,1.0,200.0,7.0,İzmir , Karşıyaka 
Daire,4700000.0,3.0,1.0,130.0,7.0,İzmir , Karşıyaka 
Daire,3100000.0,4.0,1.0,250.0,6.0,İzmir , Menemen 
Villa,18000000.0,5.0,2.0,350.0,11.0,İzmir , Foça 
Daire,3170000.0,2.0,1.0,90.0,9.0,İzmir , Karşıyaka 
Residence,14500000.0,2.0,1.0,100.0,3.0,İzmir , Çeşme 
Daire,3500000.0,3.0,1.0,130.0,27.0,İzmir , Gaziemir 
Daire,4850000.0,3.0,1.0,135.0,4.0,İzmir , Buca 
Daire,3300000.0,3.0,1.0,135.0,3.0,İzmir , Menemen 
Daire,2525000.0,2.0,1.0,110.0,25.0,İzmir , Bornova 
Daire,9875000.0,3.0,1.0,145.0,7.0,İzmir , Güzelbahçe 
Daire,2850000.0,2.0,1.0,90.0,29.0,İzmir , Karşıyaka 
Daire,2850000.0,1.0,1.0,70.0,32.0,İzmir , Konak 
Daire,2975000.0,2.0,1.0,115.0,40.0,İzmir , Karabağlar 
Villa,3000000.0,1.0,1.0,110.0,14.0,İzmir , Seferihisar 
Villa,5700000.0,2.0,1.0,300.0,20.0,İzmir , Dikili 
Yazlık,6250000.0,3.0,1.0,250.0,11.0,İzmir , Menderes 
Yazlık,5250000.0,3.0,1.0,115.0,13.0,İzmir , Foça 
Villa,16900000.0,4.0,1.0,257.0,21.0,İzmir , Çeşme 
Daire,4785000.0,3.0,1.0,135.0,10.0,İzmir , Menemen 
Villa,6750000.0,3.0,1.0,170.0,5.0,İzmir , Menderes 
Daire,2750000.0,2.0,1.0,95.0,13.0,İzmir , Gaziemir 
Villa,15500000.0,4.0,1.0,175.0,10.0,İzmir , Bornova 
Yazlık,14950000.0,10.0,2.0,430.0,5.0,İzmir , Menderes 
Daire,2700000.0,3.0,1.0,220.0,8.0,İzmir , Menemen 
Daire,2950000.0,2.0,1.0,90.0,20.0,İzmir , Dikili 
Yazlık,10500000.0,4.0,1.0,160.0,15.0,İzmir , Seferihisar 
Daire,5350000.0,3.0,1.0,155.0,26.0,İzmir , Karşıyaka 
Daire,1720000.0,1.0,1.0,50.0,5.0,İzmir , Menemen 
Daire,2950000.0,3.0,1.0,130.0,30.0,İzmir , Buca 
Daire,2450000.0,3.0,1.0,140.0,35.0,İzmir , Ödemiş 
Daire,3100000.0,4.0,1.0,160.0,30.0,İzmir , Bornova 
Yazlık,5500000.0,3.0,1.0,240.0,30.0,İzmir , Dikili 
Yazlık,6750000.0,3.0,1.0,150.0,35.0,İzmir , Menderes 
Daire,4590000.0,2.0,1.0,85.0,5.0,İzmir , Seferihisar 
Daire,5300000.0,3.0,1.0,160.0,9.0,İzmir , Çiğli 
Yazlık,4500000.0,3.0,1.0,100.0,31.0,İzmir , Dikili 
Daire,2750000.0,2.0,1.0,85.0,31.0,İzmir , Konak 
Daire,2800000.0,2.0,1.0,90.0,7.0,İzmir , Menderes 
Daire,5750000.0,2.0,1.0,65.0,1.0,İzmir , Karşıyaka 
Daire,2950000.0,2.0,1.0,100.0,8.0,İzmir , Buca 
Müstakil,3350000.0,3.0,1.0,430.0,4.0,İzmir , Buca 
Daire,7200000.0,3.0,1.0,240.0,6.0,İzmir , Karşıyaka 
Daire,4550000.0,1.0,1.0,65.0,3.0,İzmir , Çeşme 
Daire,2600000.0,3.0,1.0,125.0,30.0,İzmir , Konak 
Daire,2450000.0,3.0,1.0,135.0,6.0,İzmir , Menemen 
Daire,2050000.0,2.0,1.0,95.0,35.0,İzmir , Konak 
Daire,2000000.0,3.0,1.0,110.0,35.0,İzmir , Karşıyaka 
Villa,10500000.0,3.0,1.0,100.0,38.0,İzmir , Foça 
Daire,2800000.0,2.0,1.0,120.0,37.0,İzmir , Balçova 
Daire,2750000.0,3.0,1.0,120.0,30.0,İzmir , Balçova 
Daire,3250000.0,5.0,1.0,220.0,20.0,İzmir , Ödemiş 
Daire,4400000.0,2.0,1.0,90.0,3.0,İzmir , Menderes 
Daire,1800000.0,1.0,1.0,50.0,8.0,İzmir , Buca 
Daire,1740000.0,1.0,1.0,75.0,10.0,İzmir , Buca 
Daire,1675000.0,1.0,1.0,60.0,35.0,İzmir , Çiğli 
Daire,3500000.0,3.0,1.0,95.0,38.0,İzmir , Konak 
Daire,3760000.0,3.0,1.0,110.0,6.0,İzmir , Karabağlar 
Daire,10000000.0,6.0,2.0,320.0,13.0,İzmir , Balçova 
Bina,7500000.0,3.0,1.0,135.0,45.0,İzmir , Karabağlar 
Daire,4900000.0,3.0,1.0,120.0,8.0,İzmir , Konak 
Daire,3150000.0,2.0,1.0,125.0,30.0,İzmir , Balçova 
Villa,17000000.0,2.0,1.0,160.0,6.0,İzmir , Çeşme 
Daire,24500000.0,7.0,3.0,364.0,5.0,İzmir , Urla 
Daire,2600000.0,3.0,1.0,140.0,35.0,İzmir , Konak 
Daire,4300000.0,3.0,1.0,150.0,21.0,İzmir , Bayraklı 
Villa,9500000.0,4.0,1.0,250.0,4.0,İzmir , Dikili 
Daire,4150000.0,3.0,1.0,140.0,26.0,İzmir , Karşıyaka 
Villa,11550000.0,3.0,1.0,140.0,21.0,İzmir , Çeşme 
Daire,2390000.0,2.0,1.0,72.0,31.0,İzmir , Bornova 
Daire,2500000.0,2.0,1.0,98.0,30.0,İzmir , Konak 
